
city_name,city_slug,violation_code,hot_location,search_phrase_one,search_phrase_two,monthly_volume
"Phoenix, AZ",us-az-phoenix,PCC 36-134,Downtown Phoenix (Central Ave & Washington St),how to pay parking ticket PCC 36-134 at Downtown Phoenix (Central Ave & Washington St),appeal citation PCC 36-134 at Downtown Phoenix (Central Ave & Washington St),
"Phoenix, AZ",us-az-phoenix,PCC 36-134,Chase Field,how to pay parking ticket PCC 36-134 at Chase Field,appeal citation PCC 36-134 at Chase Field,
"Phoenix, AZ",us-az-phoenix,PCC 36-134,Roosevelt Row,how to pay parking ticket PCC 36-134 at Roosevelt Row,appeal citation PCC 36-134 at Roosevelt Row,
"Phoenix, AZ",us-az-phoenix,PCC 36-134,Phoenix Convention Center,how to pay parking ticket PCC 36-134 at Phoenix Convention Center,appeal citation PCC 36-134 at Phoenix Convention Center,
"Phoenix, AZ",us-az-phoenix,PCC 36-134,Sky Harbor Airport Terminal 4,how to pay parking ticket PCC 36-134 at Sky Harbor Airport Terminal 4,appeal citation PCC 36-134 at Sky Harbor Airport Terminal 4,
"Phoenix, AZ",us-az-phoenix,PCC 36-154B,Downtown Phoenix (Central Ave & Washington St),how to pay parking ticket PCC 36-154B at Downtown Phoenix (Central Ave & Washington St),appeal citation PCC 36-154B at Downtown Phoenix (Central Ave & Washington St),
"Phoenix, AZ",us-az-phoenix,PCC 36-154B,Chase Field,how to pay parking ticket PCC 36-154B at Chase Field,appeal citation PCC 36-154B at Chase Field,
"Phoenix, AZ",us-az-phoenix,PCC 36-154B,Roosevelt Row,how to pay parking ticket PCC 36-154B at Roosevelt Row,appeal citation PCC 36-154B at Roosevelt Row,
"Phoenix, AZ",us-az-phoenix,PCC 36-154B,Phoenix Convention Center,how to pay parking ticket PCC 36-154B at Phoenix Convention Center,appeal citation PCC 36-154B at Phoenix Convention Center,
"Phoenix, AZ",us-az-phoenix,PCC 36-154B,Sky Harbor Airport Terminal 4,how to pay parking ticket PCC 36-154B at Sky Harbor Airport Terminal 4,appeal citation PCC 36-154B at Sky Harbor Airport Terminal 4,
"Phoenix, AZ",us-az-phoenix,PCC 36-149,Downtown Phoenix (Central Ave & Washington St),how to pay parking ticket PCC 36-149 at Downtown Phoenix (Central Ave & Washington St),appeal citation PCC 36-149 at Downtown Phoenix (Central Ave & Washington St),
"Phoenix, AZ",us-az-phoenix,PCC 36-149,Chase Field,how to pay parking ticket PCC 36-149 at Chase Field,appeal citation PCC 36-149 at Chase Field,
"Phoenix, AZ",us-az-phoenix,PCC 36-149,Roosevelt Row,how to pay parking ticket PCC 36-149 at Roosevelt Row,appeal citation PCC 36-149 at Roosevelt Row,
"Phoenix, AZ",us-az-phoenix,PCC 36-149,Phoenix Convention Center,how to pay parking ticket PCC 36-149 at Phoenix Convention Center,appeal citation PCC 36-149 at Phoenix Convention Center,
"Phoenix, AZ",us-az-phoenix,PCC 36-149,Sky Harbor Airport Terminal 4,how to pay parking ticket PCC 36-149 at Sky Harbor Airport Terminal 4,appeal citation PCC 36-149 at Sky Harbor Airport Terminal 4,
"San Francisco, CA",us-ca-san_francisco,Section 22500H,Mission Street between 1st & 7th (SoMa),how to pay parking ticket Section 22500H at Mission Street between 1st & 7th (SoMa),appeal citation Section 22500H at Mission Street between 1st & 7th (SoMa),
"San Francisco, CA",us-ca-san_francisco,Section 22500H,Financial District,how to pay parking ticket Section 22500H at Financial District,appeal citation Section 22500H at Financial District,
"San Francisco, CA",us-ca-san_francisco,Section 22500H,Downtown,how to pay parking ticket Section 22500H at Downtown,appeal citation Section 22500H at Downtown,
"San Francisco, CA",us-ca-san_francisco,Section 22500H,1st Street (Market to Folsom),how to pay parking ticket Section 22500H at 1st Street (Market to Folsom),appeal citation Section 22500H at 1st Street (Market to Folsom),
"San Francisco, CA",us-ca-san_francisco,Section 22500H,Townsend Street (4th to 5th),how to pay parking ticket Section 22500H at Townsend Street (4th to 5th),appeal citation Section 22500H at Townsend Street (4th to 5th),
"San Francisco, CA",us-ca-san_francisco,Section 7.2.22,Mission Street between 1st & 7th (SoMa),how to pay parking ticket Section 7.2.22 at Mission Street between 1st & 7th (SoMa),appeal citation Section 7.2.22 at Mission Street between 1st & 7th (SoMa),
"San Francisco, CA",us-ca-san_francisco,Section 7.2.22,Financial District,how to pay parking ticket Section 7.2.22 at Financial District,appeal citation Section 7.2.22 at Financial District,
"San Francisco, CA",us-ca-san_francisco,Section 7.2.22,Downtown,how to pay parking ticket Section 7.2.22 at Downtown,appeal citation Section 7.2.22 at Downtown,
"San Francisco, CA",us-ca-san_francisco,Section 7.2.22,1st Street (Market to Folsom),how to pay parking ticket Section 7.2.22 at 1st Street (Market to Folsom),appeal citation Section 7.2.22 at 1st Street (Market to Folsom),
"San Francisco, CA",us-ca-san_francisco,Section 7.2.22,Townsend Street (4th to 5th),how to pay parking ticket Section 7.2.22 at Townsend Street (4th to 5th),appeal citation Section 7.2.22 at Townsend Street (4th to 5th),
"San Francisco, CA",us-ca-san_francisco,Section 7.2.23(a),Mission Street between 1st & 7th (SoMa),how to pay parking ticket Section 7.2.23(a) at Mission Street between 1st & 7th (SoMa),appeal citation Section 7.2.23(a) at Mission Street between 1st & 7th (SoMa),
"San Francisco, CA",us-ca-san_francisco,Section 7.2.23(a),Financial District,how to pay parking ticket Section 7.2.23(a) at Financial District,appeal citation Section 7.2.23(a) at Financial District,
"San Francisco, CA",us-ca-san_francisco,Section 7.2.23(a),Downtown,how to pay parking ticket Section 7.2.23(a) at Downtown,appeal citation Section 7.2.23(a) at Downtown,
"San Francisco, CA",us-ca-san_francisco,Section 7.2.23(a),1st Street (Market to Folsom),how to pay parking ticket Section 7.2.23(a) at 1st Street (Market to Folsom),appeal citation Section 7.2.23(a) at 1st Street (Market to Folsom),
"San Francisco, CA",us-ca-san_francisco,Section 7.2.23(a),Townsend Street (4th to 5th),how to pay parking ticket Section 7.2.23(a) at Townsend Street (4th to 5th),appeal citation Section 7.2.23(a) at Townsend Street (4th to 5th),
